method_id,config_id,configuration,evaluation_count,mean_intervention_cost,mean_oracle_normalized_return,parameter_count
csp_style_reconnaissance,74bfb5d72ce8,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.01, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.1, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",3,3.3333333333333335,0.9803921568627452,27214
gru_ppo_active,1f32971a0ea9,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.001, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,0.4166666666666667,0.9901960784313726,26694
gru_ppo_passive,1f32971a0ea9,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.001, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,0.0,1.0,26694
mlp_ppo,1f32971a0ea9,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.001, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,0.0,0.9575163398692811,5894
odits_style,1f32971a0ea9,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.001, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,1.25,1.0,54318
pace_aux,d1c7fa194293,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.01, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,1.25,1.0,27084
pace_style,0d039fdf4023,"{'auxiliary_coefficient': 0.1, 'clip_ratio': 0.2, 'entropy_coefficient': 0.01, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,0.0,0.9852941176470589,27084
talents_style,1f32971a0ea9,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.001, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,1.25,1.0,27677
tom_selector_style,1f32971a0ea9,"{'auxiliary_coefficient': 1.0, 'clip_ratio': 0.2, 'entropy_coefficient': 0.001, 'gae_lambda': 0.95, 'gamma': 1.0, 'hidden_size': 64, 'kl_coefficient': 0.1, 'latent_dimension': 4, 'learning_rate': 0.0003, 'max_gradient_norm': 0.5, 'minibatch_size': 512, 'optimization_epochs': 4, 'pace_bonus_decay_fraction': 0.8, 'pace_bonus_initial': 0.5, 'transitions_per_update': 4096, 'value_coefficient': 0.5}",12,0.0,0.9852941176470589,27409
